Device,Application,Schedule_UID,Task_ID,Total_Duration_ms
3A021JEHN02756,cifar-sparse,SCH-L9-G000-599f,98,68.05619303385416
3A021JEHN02756,cifar-sparse,SCH-L9-G000-599f,99,69.85367838541666
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,0,46.550821940104164
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,1,33.1466064453125
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,2,29.625935872395832
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,3,20.45458984375
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,4,17.189453125
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,5,16.804484049479164
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,6,16.0574951171875
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,7,15.799886067708332
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,8,15.786010742187498
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,9,15.732218424479164
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,10,16.0023193359375
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,11,16.0863037109375
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,12,16.015299479166664
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,13,15.78076171875
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,14,16.184326171875
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,15,16.3790283203125
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,16,16.752970377604164
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,17,16.59033203125
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,18,16.273111979166664
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,19,16.297770182291664
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,20,16.3634033203125
3A021JEHN02756,cifar-sparse,SCH-G4M5-G031-e5ea,21,16.6248779296875
